,0,1,2,3,4
0,6.0,111.11111111111111,2.25,0.875,18.137392044067383
1,6.0,155.55555555555554,1.5,0.7,19.241479873657227
2,6.0,177.77777777777777,2.25,1.0499999999999998,16.184032440185547
3,8.0,133.33333333333331,2.0,0.875,16.875024795532227
4,8.0,200.0,2.5,1.2249999999999999,26.38283348083496
5,9.0,88.88888888888889,2.5,0.875,11.829216003417969
6,10.0,0.0,2.0,1.2249999999999999,1.8084684610366821
7,10.0,22.22222222222222,2.0,1.2249999999999999,3.919552803039551
8,11.0,66.66666666666666,1.75,1.4,10.158806800842285
9,12.0,133.33333333333331,2.0,1.2249999999999999,16.029203414916992
10,12.0,200.0,1.5,0.7,32.17901611328125
11,12.0,200.0,2.5,1.4,24.138975143432617
12,6.0,200.0,1.5,0.7,24.132104873657227
13,6.0,44.44444444444444,2.5,0.7,6.60168981552124
14,12.0,200.0,1.5,0.875,19.250967025756836
15,12.0,155.55555555555554,2.5,1.4,19.296987533569336
16,12.0,111.11111111111111,1.5,1.4,12.928365707397461
17,12.0,177.77777777777777,1.5,0.7,20.78639793395996
18,6.0,200.0,2.5,1.4,22.400407791137695
19,12.0,200.0,2.5,0.7,21.961957931518555
20,6.0,200.0,1.5,1.4,22.915878295898438
21,12.0,177.77777777777777,2.5,1.4,21.94783592224121
22,6.0,66.66666666666666,2.5,0.7,10.001542091369629
23,12.0,155.55555555555554,1.5,0.7,23.565610885620117
24,6.0,155.55555555555554,2.5,1.4,21.812620162963867
25,12.0,44.44444444444444,1.5,1.4,8.587074279785156
26,12.0,200.0,1.5,1.4,27.4851131439209
27,6.0,133.33333333333331,2.5,1.4,19.232301712036133
28,6.0,200.0,2.5,0.7,19.268144607543945
29,12.0,200.0,1.5,1.2249999999999999,34.5101318359375
30,6.0,88.88888888888889,1.5,1.4,15.394453048706055
31,12.0,88.88888888888889,1.5,1.4,14.486430168151855
32,11.0,200.0,1.5,1.4,22.024120330810547
33,6.0,177.77777777777777,1.5,1.4,20.45906639099121
34,12.0,155.55555555555554,1.5,1.4,19.430500030517578
35,12.0,177.77777777777777,1.5,1.4,27.994014739990234
36,12.0,177.77777777777777,2.5,0.7,15.686304092407227
37,6.0,111.11111111111111,1.5,1.4,17.1947078704834
38,6.0,155.55555555555554,2.5,0.7,22.398147583007812
39,6.0,133.33333333333331,1.5,0.7,14.418275833129883
40,12.0,200.0,2.5,0.875,26.058740615844727
41,12.0,111.11111111111111,2.5,0.7,15.18725872039795
42,6.0,155.55555555555554,1.5,1.4,18.17331314086914
43,12.0,155.55555555555554,2.5,0.7,19.581363677978516
44,12.0,133.33333333333331,2.5,0.7,15.168937683105469
45,11.0,200.0,1.5,0.7,31.180246353149414
46,9.0,200.0,1.5,0.7,30.603193283081055
47,9.0,200.0,1.5,1.4,32.20561599731445
48,10.0,200.0,1.5,0.7,23.96723747253418
49,12.0,200.0,1.5,1.0499999999999998,23.05682373046875
50,6.0,22.22222222222222,2.5,1.0499999999999998,4.849709510803223
51,6.0,22.22222222222222,2.5,1.2249999999999999,3.337425708770752
52,7.0,44.44444444444444,1.5,1.0499999999999998,6.868900775909424
53,7.0,44.44444444444444,1.5,1.4,6.4842424392700195
54,8.0,22.22222222222222,1.75,1.4,3.539818048477173
55,10.0,22.22222222222222,2.25,0.875,3.376404047012329
56,12.0,66.66666666666666,1.75,1.0499999999999998,8.282745361328125
57,12.0,66.66666666666666,2.0,1.0499999999999998,6.789172172546387
58,12.0,155.55555555555554,2.25,1.4,17.013261795043945
59,12.0,177.77777777777777,1.5,1.4,27.994014739990234
60,6.0,177.77777777777777,2.5,0.7,22.841032028198242
61,12.0,177.77777777777777,2.5,0.7,15.686304092407227
62,6.0,177.77777777777777,1.5,1.4,20.45906639099121
63,10.0,200.0,1.5,1.4,23.431360244750977
64,6.0,200.0,2.5,0.7,19.268144607543945
65,12.0,133.33333333333331,2.25,1.4,18.327348709106445
66,12.0,200.0,2.5,0.7,21.961957931518555
67,12.0,111.11111111111111,2.25,1.4,12.633251190185547
68,6.0,88.88888888888889,1.5,0.7,14.354392051696777
69,12.0,0.0,1.5,0.7,2.192422389984131
70,11.0,177.77777777777777,1.5,0.7,20.241077423095703
71,6.0,133.33333333333331,1.5,0.7,14.418275833129883
72,6.0,155.55555555555554,1.5,0.7,19.241479873657227
73,11.0,177.77777777777777,1.5,1.4,18.61313819885254
74,12.0,200.0,1.5,1.4,27.4851131439209
75,12.0,200.0,1.5,0.7,32.17901611328125
76,12.0,88.88888888888889,2.5,1.4,12.499107360839844
77,6.0,111.11111111111111,1.5,0.7,12.146031379699707
78,12.0,200.0,1.5,0.875,19.250967025756836
79,6.0,200.0,1.5,1.4,22.915878295898438
80,12.0,200.0,2.5,1.4,24.138975143432617
81,6.0,155.55555555555554,2.5,1.4,21.812620162963867
82,6.0,66.66666666666666,2.5,0.7,10.001542091369629
83,6.0,200.0,1.5,0.7,24.132104873657227
84,12.0,155.55555555555554,1.5,0.7,23.565610885620117
85,6.0,177.77777777777777,2.5,1.4,16.07969856262207
86,12.0,133.33333333333331,1.5,0.7,21.44928550720215
87,6.0,0.0,2.5,1.4,1.019402265548706
88,12.0,200.0,1.5,1.2249999999999999,34.5101318359375
89,6.0,133.33333333333331,2.5,1.4,19.232301712036133
90,12.0,44.44444444444444,2.5,0.7,6.489906311035156
91,12.0,200.0,2.5,1.2249999999999999,29.206605911254883
92,12.0,155.55555555555554,2.5,0.7,19.581363677978516
93,6.0,200.0,2.5,1.4,22.400407791137695
94,12.0,200.0,1.5,1.0499999999999998,23.05682373046875
95,6.0,155.55555555555554,1.5,1.4,18.17331314086914
96,12.0,133.33333333333331,2.5,0.7,15.168937683105469
97,12.0,200.0,2.5,0.875,26.058740615844727
98,6.0,88.88888888888889,2.5,1.4,12.48952579498291
99,12.0,88.88888888888889,1.5,0.7,15.9689302444458
100,7.0,177.77777777777777,2.5,0.7,22.807905197143555
101,8.0,133.33333333333331,2.5,1.0499999999999998,21.312129974365234
102,10.0,111.11111111111111,2.5,1.2249999999999999,11.897862434387207
103,10.0,177.77777777777777,2.25,0.875,22.81317138671875
104,10.0,177.77777777777777,2.5,0.875,30.030189514160156
105,11.0,22.22222222222222,2.5,1.4,4.009639739990234
106,11.0,88.88888888888889,2.0,1.4,10.863797187805176
107,11.0,177.77777777777777,2.5,1.2249999999999999,25.066741943359375
108,11.0,200.0,2.0,1.2249999999999999,28.94756317138672
109,12.0,133.33333333333331,2.5,1.0499999999999998,18.903078079223633
110,6.0,200.0,2.5,0.7,19.268144607543945
111,10.0,155.55555555555554,2.5,0.875,15.606358528137207
112,6.0,66.66666666666666,2.5,0.7,10.001542091369629
113,12.0,200.0,1.5,0.7,32.17901611328125
114,6.0,0.0,1.5,0.7,1.3592394590377808
